REF,Company (Manufacturer),Company Location,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent (%),Ingredients,Most Memorable Characteristics,Rating
0.918204849800941,0.0,0.95,0.27586206896551724,0.5846372688477952,0.125,0.2631578947368421,0.09082172032676598,0.6666666666666667
0.918204849800941,0.0,0.95,0.39655172413793105,0.04836415362731152,0.125,0.2631578947368421,0.5367611725132149,0.8333333333333333
0.9196525515743756,0.0,0.95,0.9827586206896551,0.884068278805121,0.625,0.2631578947368421,0.3022585295530995,0.6666666666666667
0.28664495114006516,0.0018315018315018315,0.2833333333333333,0.05172413793103448,0.12660028449502134,0.5819478155339812,0.631578947368421,0.9807784718885152,0.8333333333333333
0.3640969960188201,0.0018315018315018315,0.2833333333333333,0.5689655172413793,0.6984352773826459,0.375,0.631578947368421,0.049495434887073524,0.5833333333333333
0.3640969960188201,0.0018315018315018315,0.2833333333333333,0.48275862068965514,0.5369843527738265,0.5819478155339812,0.631578947368421,0.8875540605478136,0.6666666666666667
0.3640969960188201,0.0018315018315018315,0.2833333333333333,0.06896551724137931,0.13229018492176386,0.375,0.631578947368421,0.5314752522825564,0.75
0.3640969960188201,0.0018315018315018315,0.2833333333333333,0.24137931034482757,0.3314366998577525,0.375,0.631578947368421,0.7563671311869294,0.9166666666666667
0.3655446977922548,0.0018315018315018315,0.2833333333333333,0.13793103448275862,0.23044096728307256,0.375,0.631578947368421,0.06246996636232581,0.5833333333333333
0.3655446977922548,0.0018315018315018315,0.2833333333333333,0.08620689655172414,0.11877667140825036,0.375,0.631578947368421,0.8899567515617491,0.6666666666666667
0.3655446977922548,0.0018315018315018315,0.2833333333333333,0.5862068965517241,0.7041251778093883,0.375,0.631578947368421,0.5204228736184527,0.75
0.3655446977922548,0.0018315018315018315,0.2833333333333333,0.9827586206896551,0.20128022759601708,0.5819478155339812,0.631578947368421,0.6256607400288323,1.0
0.36699239956568946,0.0018315018315018315,0.2833333333333333,0.603448275862069,0.732574679943101,0.375,0.631578947368421,0.39452186448822685,0.75
0.36699239956568946,0.0018315018315018315,0.2833333333333333,0.603448275862069,0.18349928876244667,0.5819478155339812,0.631578947368421,0.12205670350792888,0.8333333333333333
0.4741223307998552,0.0018315018315018315,0.2833333333333333,0.9827586206896551,0.1728307254623044,0.375,0.631578947368421,0.42383469485824127,0.5833333333333333
0.4741223307998552,0.0018315018315018315,0.2833333333333333,0.1896551724137931,0.2624466571834993,0.375,0.631578947368421,0.7991350312349832,0.8333333333333333
0.4741223307998552,0.0018315018315018315,0.2833333333333333,0.9827586206896551,0.8826458036984354,0.375,0.631578947368421,0.5910619894281596,0.8333333333333333
0.4755700325732899,0.0018315018315018315,0.2833333333333333,0.9827586206896551,0.7652916073968706,0.375,0.631578947368421,0.009610764055742432,0.9166666666666667
0.4755700325732899,0.0018315018315018315,0.2833333333333333,0.603448275862069,0.6948790896159317,0.375,0.631578947368421,0.22729456991830851,1.0
0.6047774158523345,0.0018315018315018315,0.2833333333333333,0.896551724137931,0.47297297297297297,0.375,0.631578947368421,0.06391158097068717,0.5833333333333333
0.6047774158523345,0.0018315018315018315,0.2833333333333333,0.896551724137931,0.06685633001422475,0.375,0.631578947368421,0.6977414704469006,0.6666666666666667
0.6062251176257691,0.0018315018315018315,0.2833333333333333,0.896551724137931,0.00995732574679943,0.375,0.631578947368421,0.5257087938491111,0.8333333333333333
0.6149113282663772,0.0018315018315018315,0.2833333333333333,0.603448275862069,0.7745376955903273,0.375,0.631578947368421,0.3733781835655935,0.8333333333333333
0.7965979008324285,0.0018315018315018315,0.2833333333333333,0.9827586206896551,0.7496443812233287,0.375,0.631578947368421,0.006246996636232581,0.8333333333333333
0.9565689467969598,0.0018315018315018315,0.2833333333333333,0.5172413793103449,0.4850640113798009,0.375,0.631578947368421,0.49735703988467084,1.0
0.9797321751719146,0.0018315018315018315,0.2833333333333333,0.41379310344827586,0.4295874822190612,0.5819478155339812,0.2631578947368421,0.802498798654493,0.9166666666666667
0.9797321751719146,0.0018315018315018315,0.2833333333333333,0.603448275862069,0.2652916073968706,0.375,0.2631578947368421,0.3935607880826526,0.8333333333333333
0.9811798769453492,0.0018315018315018315,0.2833333333333333,0.05172413793103448,0.31721194879089615,0.5819478155339812,0.631578947368421,0.995675156174916,0.5833333333333333
0.5273253709735795,0.005494505494505494,0.95,0.603448275862069,0.21337126600284495,0.375,0.05263157894736842,0.999519461797213,0.9166666666666667
0.5302207745204488,0.005494505494505494,0.95,0.603448275862069,0.9352773826458037,0.375,0.05263157894736842,0.47092743873137916,0.9166666666666667
0.8892508143322475,0.005494505494505494,0.95,0.5172413793103449,0.8990042674253201,0.5819478155339812,0.05263157894736842,0.4296011532916867,0.75
0.8921462178791169,0.005494505494505494,0.95,0.603448275862069,0.09103840682788052,0.375,0.05263157894736842,0.4435367611725132,0.8333333333333333
0.2533478103510677,0.007326007326007326,0.25,0.27586206896551724,0.9559032716927455,0.625,0.2631578947368421,0.10571840461316676,0.8333333333333333
0.8805646036916395,0.009157509157509158,0.9666666666666667,0.9655172413793103,0.5476529160739687,0.5819478155339812,0.05263157894736842,0.9673234022104757,0.49999999999999994
